event_date,ticker,asset,event_type,event_window,date_precision,confidence,source,nct_id,source_url
2027-04-20,AZN,camizestrant,READOUT,"Apr 20, 2027",day,medium,clinicaltrials,NCT05774951,https://clinicaltrials.gov/study/NCT05774951
2027-04-25,LLY,lebrikizumab,READOUT,"Apr 25, 2027",day,medium,clinicaltrials,NCT06526182,https://clinicaltrials.gov/study/NCT06526182
2027-04-27,AMGN,maridebart cafraglutide,READOUT,"Apr 27, 2027",day,medium,clinicaltrials,NCT06987695,https://clinicaltrials.gov/study/NCT06987695
2027-04-30,MRK,ifinatamab deruxtecan,READOUT,"Apr 30, 2027",day,medium,clinicaltrials,NCT06203210,https://clinicaltrials.gov/study/NCT06203210
2027-04-30,NVS,iptacopan,READOUT,"Apr 30, 2027",day,medium,clinicaltrials,NCT06517758,https://clinicaltrials.gov/study/NCT06517758
2027-05-02,PFE,abrocitinib,READOUT,"May 2, 2027",day,medium,clinicaltrials,NCT06807268,https://clinicaltrials.gov/study/NCT06807268
2027-05-11,NVO,cagrilintide,READOUT,"May 11, 2027",day,medium,clinicaltrials,NCT07220642,https://clinicaltrials.gov/study/NCT07220642
2027-05-12,NVO,cagrilintide,READOUT,"May 12, 2027",day,medium,clinicaltrials,NCT07220759,https://clinicaltrials.gov/study/NCT07220759
2027-05-18,TAK,zasocitinib,READOUT,"May 18, 2027",day,medium,clinicaltrials,NCT06671483,https://clinicaltrials.gov/study/NCT06671483
2027-05-19,MRK,nemtabrutinib,READOUT,"May 19, 2027",day,medium,clinicaltrials,NCT05624554,https://clinicaltrials.gov/study/NCT05624554
2027-05-31,TEVA,deuruxolitinib,READOUT,May 2027,month,medium,clinicaltrials,NCT03898479,https://clinicaltrials.gov/study/NCT03898479
2027-05-31,LLY,orforglipron,READOUT,May 2027,month,medium,clinicaltrials,NCT07613307,https://clinicaltrials.gov/study/NCT07613307
2027-05-31,VOR,telitacicept,READOUT,May 2027,month,medium,clinicaltrials,NCT06456580,https://clinicaltrials.gov/study/NCT06456580
2027-06-02,NVS,pelabresib,READOUT,"Jun 2, 2027",day,medium,clinicaltrials,NCT06401356,https://clinicaltrials.gov/study/NCT06401356
2027-06-07,MRK,belzutifan,READOUT,"Jun 7, 2027",day,medium,clinicaltrials,NCT05899049,https://clinicaltrials.gov/study/NCT05899049
2027-06-18,REGN,mibavademab,READOUT,"Jun 18, 2027",day,medium,clinicaltrials,NCT07220772,https://clinicaltrials.gov/study/NCT07220772
2027-06-30,PFE,binimetinib,READOUT,Jun 2027,month,medium,clinicaltrials,NCT05615818,https://clinicaltrials.gov/study/NCT05615818
2027-06-30,AZN,datopotamab deruxtecan,READOUT,"Jun 30, 2027",day,medium,clinicaltrials,NCT06564844,https://clinicaltrials.gov/study/NCT06564844
2027-06-30,PHVS,deucrictibant,READOUT,Jun 2027,month,medium,clinicaltrials,NCT05396105,https://clinicaltrials.gov/study/NCT05396105
2027-06-30,IMMP,eftilagimod alfa,READOUT,Jun 2027,month,medium,clinicaltrials,NCT06726265,https://clinicaltrials.gov/study/NCT06726265
2027-06-30,PFE,encorafenib,READOUT,Jun 2027,month,medium,clinicaltrials,NCT05615818,https://clinicaltrials.gov/study/NCT05615818
2027-06-30,GMAB,epcoritamab,READOUT,Jun 2027,month,medium,clinicaltrials,NCT05578976,https://clinicaltrials.gov/study/NCT05578976
2027-06-30,IMNN,niraparib,READOUT,Jun 2027,month,medium,clinicaltrials,NCT03651206,https://clinicaltrials.gov/study/NCT03651206
2027-06-30,AZN,rilvegostomig,READOUT,"Jun 30, 2027",day,medium,clinicaltrials,NCT06564844,https://clinicaltrials.gov/study/NCT06564844
2027-06-30,GILD,sacituzumab govitecan hziy,READOUT,Jun 2027,month,medium,clinicaltrials,NCT05633654,https://clinicaltrials.gov/study/NCT05633654
2027-06-30,AMGN,sotorasib,READOUT,"Jun 30, 2027",day,medium,clinicaltrials,NCT05920356,https://clinicaltrials.gov/study/NCT05920356
2027-06-30,JAZZ,zanidatamab,READOUT,Jun 2027,month,medium,clinicaltrials,NCT05615818,https://clinicaltrials.gov/study/NCT05615818
2027-07-02,NVO,ziltivekimab,READOUT,"Jul 2, 2027",day,medium,clinicaltrials,NCT05636176,https://clinicaltrials.gov/study/NCT05636176
2027-07-05,AMGN,tarlatamab,READOUT,"Jul 5, 2027",day,medium,clinicaltrials,NCT06211036,https://clinicaltrials.gov/study/NCT06211036
2027-07-28,AZN,datopotamab deruxtecan,READOUT,"Jul 28, 2027",day,medium,clinicaltrials,NCT06103864,https://clinicaltrials.gov/study/NCT06103864
2027-07-30,GMAB,acasunlimab,READOUT,"Jul 30, 2027",day,medium,clinicaltrials,NCT06635824,https://clinicaltrials.gov/study/NCT06635824
2027-07-30,AZN,darolutamide,READOUT,"Jul 30, 2027",day,medium,clinicaltrials,NCT05794906,https://clinicaltrials.gov/study/NCT05794906
2027-07-30,PFE,ritlecitinib,READOUT,"Jul 30, 2027",day,medium,clinicaltrials,NCT06072183,https://clinicaltrials.gov/study/NCT06072183
2027-07-31,AZN,dapagliflozin,READOUT,Jul 2027,month,medium,clinicaltrials,NCT05374291,https://clinicaltrials.gov/study/NCT05374291
2027-07-31,LLY,retatrutide,READOUT,Jul 2027,month,medium,clinicaltrials,NCT07232719,https://clinicaltrials.gov/study/NCT07232719
2027-08-04,PFE,elranatamab,READOUT,"Aug 4, 2027",day,medium,clinicaltrials,NCT05317416,https://clinicaltrials.gov/study/NCT05317416
2027-08-07,AZN,tezepelumab,READOUT,"Aug 7, 2027",day,medium,clinicaltrials,NCT07363642,https://clinicaltrials.gov/study/NCT07363642
2027-08-09,BMY,golcadomide,READOUT,"Aug 9, 2027",day,medium,clinicaltrials,NCT06356129,https://clinicaltrials.gov/study/NCT06356129
2027-08-20,ARWR,zodasiran,READOUT,"Aug 20, 2027",day,medium,clinicaltrials,NCT07037771,https://clinicaltrials.gov/study/NCT07037771
2027-08-27,AZN,ravulizumab,READOUT,"Aug 27, 2027",day,medium,clinicaltrials,NCT07596784,https://clinicaltrials.gov/study/NCT07596784
2027-08-31,AAPG,lisaftoclax,READOUT,Aug 2027,month,medium,clinicaltrials,NCT06319456,https://clinicaltrials.gov/study/NCT06319456
2027-08-31,LLY,orforglipron,READOUT,Aug 2027,month,medium,clinicaltrials,NCT06972459,https://clinicaltrials.gov/study/NCT06972459
2027-08-31,CRNX,paltusotine,READOUT,Aug 2027,month,medium,clinicaltrials,NCT07087054,https://clinicaltrials.gov/study/NCT07087054
2027-08-31,ABBV,telisotuzumab adizutecan,READOUT,Aug 2027,month,medium,clinicaltrials,NCT06614192,https://clinicaltrials.gov/study/NCT06614192
2027-08-31,MRK,tocilizumab,READOUT,"Aug 31, 2027",day,medium,clinicaltrials,NCT06084936,https://clinicaltrials.gov/study/NCT06084936
2027-09-01,NVO,cagrilintide,READOUT,"Sep 1, 2027",day,medium,clinicaltrials,NCT05669755,https://clinicaltrials.gov/study/NCT05669755
