asset,nct_id,phase,status,primary_completion,conditions,arm_role,sponsor_raw,company_name,ticker
maridebart cafraglutide,NCT06858839,PHASE3,ACTIVE_NOT_RECRUITING,2027-01-21,Obesity,experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT06858878,PHASE3,ACTIVE_NOT_RECRUITING,2027-01-21,"Type 2 Diabetes Mellitus (T2DM), Obesity, Overweight",experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT06987695,PHASE3,ACTIVE_NOT_RECRUITING,2027-04-27,Obesity Disease,experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT07037433,PHASE3,RECRUITING,2028-06-30,Atherosclerotic Cardiovascular Disease; Overweight; Obesity,experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT07037459,PHASE3,RECRUITING,2028-06-30,Heart Failure With Preserved Ejection Fraction; Heart Failure With Mildly Reduced Ejection Fraction; Obesity,experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT07225686,PHASE3,RECRUITING,2027-09-29,Obesity; Obstructive Sleep Apnea,experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT07226765,PHASE3,RECRUITING,2027-09-29,Obstructive Sleep Apnea,experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT07575399,PHASE3,RECRUITING,2028-01-03,Obesity or Overweight,experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT07684144,PHASE3,NOT_YET_RECRUITING,2027-12-26,"Obesity; Overweight; Diabetes Mellitus, Type 2",experimental,Amgen,AMGEN INC,AMGN
maridebart cafraglutide,NCT07684235,PHASE3,NOT_YET_RECRUITING,2027-12-26,Obesity; Overweight,experimental,Amgen,AMGEN INC,AMGN
mercaptopurine,NCT03020030,PHASE3,ACTIVE_NOT_RECRUITING,2026-11-30,"Acute Lymphoblastic Leukemia, Pediatric",other,Dana-Farber Cancer Institute,DANA Inc,DAN
mercaptopurine,NCT03117751,PHASE2;PHASE3,ACTIVE_NOT_RECRUITING,2026-09-30,Acute Lymphoblastic Leukemia; Acute Lymphoblastic Lymphoma,experimental,St. Jude Children's Research Hospital,,
mevrometostat,NCT06551324,PHASE3,ACTIVE_NOT_RECRUITING,2026-07-13,Metastatic Castrate Resistant Prostate Cancer (mCRPC),experimental,Pfizer,PFIZER INC,PFE
mevrometostat,NCT06629779,PHASE3,RECRUITING,2026-12-02,Metastatic Castration-Resistant Prostate Cancer,experimental,Pfizer,PFIZER INC,PFE
mevrometostat,NCT07028853,PHASE3,RECRUITING,2028-09-12,Metastatic Castration Sensitive Prostate Cancer (mCSPC); Hormone Sensitive Prostate Cancer; Prostate Cancer; Cancer of the Prostate,experimental,Pfizer,PFIZER INC,PFE
mezigdomide,NCT05519085,PHASE3,RECRUITING,2027-01-10,Relapsed or Refractory Multiple Myeloma,experimental,Celgene,BRISTOL MYERS SQUIBB CO,BMY
mezigdomide,NCT05552976,PHASE3,ACTIVE_NOT_RECRUITING,2026-07-18,Relapsed or Refractory Multiple Myeloma,experimental,Bristol-Myers Squibb,BRISTOL MYERS SQUIBB CO,BMY
mibavademab,NCT06548100,PHASE3,ACTIVE_NOT_RECRUITING,2026-07-14,Generalized Lipodystrophy,experimental,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN
mibavademab,NCT07220772,PHASE3,RECRUITING,2027-06-18,Monogenic Obesity,experimental,Regeneron Pharmaceuticals,"REGENERON PHARMACEUTICALS, INC.",REGN
midazolam,NCT05208047,PHASE3,RECRUITING,2025-09-30,Advanced Gastrointestinal Stromal Tumors; Metastatic Cancer,experimental,"Cogent Biosciences, Inc.","Cogent Biosciences, Inc.",COGT
midazolam,NCT05646862,PHASE3,ACTIVE_NOT_RECRUITING,2026-11-13,Breast Cancer,experimental,Hoffmann-La Roche,,
migalastat,NCT04020055,PHASE3,ACTIVE_NOT_RECRUITING,2026-12-31,Fabry Disease,experimental,Amicus Therapeutics,,
migalastat,NCT05280548,PHASE3,ACTIVE_NOT_RECRUITING,2026-05-22,Fabry Disease,active_comparator,Sanofi,Sanofi,SNY
migalastat,NCT06904261,PHASE3,RECRUITING,2027-12,Fabry Disease,experimental,Amicus Therapeutics,,
minoxidil,NCT05888922,PHASE3,RECRUITING,2026-10,Androgenetic Alopecia; Female Pattern Baldness,experimental,"Industrial Farmacéutica Cantabria, S.A.",,
